MASS,R
,0.06288
,0.12029
,0.113
0.0265,
,0.25881
,0.16039
,0.12940502
,0.2351161
,0.138518
,0.07108
,0.0665
,0.0519
3.2,
0.035546,0.355
2.013248,1.120903
0.072666,0.801947
0.29,
1.676,
0.03321,
0.5219,
1.814,
7.6,
0.081,0.452
,0.15036
,0.19137
1.14,1.15
,0.1971
,
0.71,
,
,
,
2.06,
0.77,
,0.30164
,0.14307
,0.1367
263,
0.0383853,0.435365216
1.45,0.94
,0.19046
,0.20413
1.16,
,0.18955
,0.12849
0.0330298,0.1558328
0.04907293,0.39368287
0.33344427,1.0270384
0.11009952,0.59781473
0.66,1.283
,0.26792
,0.30802
,0.35267
,0.19593
,0.22783
0.12,
3.3,
0.07167,
0.35061,
0.48,
1.007,1.16
1.35,
,0.18682
,0.15401
,0.10571
10.7,
17,2.2
0.48,
0.94,
3.94,0.921
3.88,
1.28,
0.57,
0.328,
1.84,1.101
0.094,0.719
0.0055264,0.37647
0.76,
0.68,
4.6,
0.0193,
1.5,
,0.19593
,0.14125
,0.1
3.37,
0.014,
0.036,
4.95,
3,
,0.26792
,0.26792
,0.09751
,0.21962
4.9,
5.25,
0.298,
,
1.27,1.08
21.66,1.01
1.373,
1.49,
,0.38822
,0.18591
2.242,1.46
0.79,
1.7,
,0.243318
0.036,
0.41,
0.527,
,0.13032
,0.10207
,0.12849
,0.26154
,0.59599
0.01346359,0.13778
0.02541726,0.33526835
1.62,
,0.16677
,0.2014
,0.25425
,0.2178
,0.30984
,0.26154
,0.25608
0.58,1.26
0.0963,0.22236
,0.21324
,0.27339
0.027,0.139
,0.42922
,0.33536
0.33,
,1.58
,2.51
,1.25
,0.255165
,0.21507
,0.21871
,0.379102
,0.07382
,0.07837
0.595,1.192
0.467,1.388
,0.17224
,0.08749
,0.13032
1.502,
0.057,
,0.23238
,0.30802
1.2,
0.85,
,0.23329
,0.2825
0.066,
1.11,
2,
,1.13457
,0.36999
,0.364521
,0.44653
0.0117,
0.0187,
0.0162,
0.26,1.057
2.98,
,0.14216
,0.13305
,0.11118
,0.12576
,0.1613
,0.10936
,0.10845
3.55,
0.054,
1.68,
2.1,
0.73,
6.1,
,0.21507
,0.17953
,0.22691
0.0217,0.179
0.054,0.49
0.052,0.62
3.04,
0.392,1.28
1.6,
1.85,
0.9,
8,
0.292,1.132
,0.3709
,0.32716
,0.26246
,0.25608
,0.24696
,0.31258
,0.23512
0.077,0.357
0.79,
1.28,1.533
2.5,
10,
4.01,
1.709,1.4588
0.0694,
,0.14854
,0.16859
0.591,0.827
0.02,
0.917,1.44
,0.244
,0.152
6.38,
0.04,
,0.25516
,0.24605
0.196,0.947
0.94,
,0.20049
,0.11027
,0.10298
,0.11391
,0.23512
3.7,
,2.5
,1.4
4.5,
,0.12029
,0.10115
,0.21689
,0.12394
,0.113
1.11,1.45
7.56,
,0.27156828
,0.42011066
1.37,1.65
11,
,0.307109
,0.46841
1.83,1.442
0.63,0.96
,0.32807
,0.16403
0.863,0.775
2.813,
3.379,
0.2,1.2
,0.15219
,0.09204
2.83,
2.28,
,0.81
3.28,
1.59,
0.82,
,0.18499
,0.14125
2.114,1.431
1.45,
,0.22874
,0.18317
,0.11027
2.9,
1.76,1.21
0.224,
1.8,
0.571,1.092
1.03,1.49
3,
0.0316,
,0.18591
,0.14945
0.02610931,0.2105109
0.01509936,0.0868471
0.947,
,0.24879
,0.22327
,0.12849
2,1.25
2.45,1.02
,0.33718
,0.31987
1.47,
2.3,
2.7,
0.81,0.89
,0.13214
,0.12485
14.2,
,0.14125
,0.11665
,0.11027
0.9,
0.702,
0.006291401,
0.009751672,
0.011324522,
0.013526513,
0.020761624,
3.6,1.19
0.0284,
0.04,
1.85,
3,
5,
7,
30,0.97
,0.12849
,0.10298
,0.21598
,0.06744
1.07,
1.946,1.072
1.05,
1.6,
2.1,
2.6,
,0.20778
,0.19866
,0.10298
2.2,1.17
,0.25152
,0.21051
,0.18682
2.06,1.24
5.9,1.04
,0.28706
,0.10389
,0.28342
,0.29617
